"connote__connote_service","nama_produk","group_produk","kategori"
EKSPRESS,POS NEXTDAY,POS NEXTDAY,DALAM NEGERI
PKH (892620),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
PJB,POS JUMBO BARANG,POS JUMBO,DALAM NEGERI
PKH (899964),TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
"876873",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
REGIONAL,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (908737),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
PKH-PKH (893430),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
PPB_SRT,SURAT POS EKONOMI,POS EKONOMI,DALAM NEGERI
PPB_SEKOGRAM,TIDAK DIKETAHUI,POS EKONOMI,DALAM NEGERI
PJE (892619),TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
FFW-EXP,TIDAK DIKETAHUI,TIDAK DIKETAHUI,LN OUTGOING
POS SAMEDAY,TIDAK DIKETAHUI,POS SAMEDAY,DALAM NEGERI
PKH (899344),TIDAK DIKETAHUI,POS REGULER,DALAM NEGERI
T,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
"73000",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
"880590",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
"332",PAKET BIASA INTERNASIONAL,POS BIASA INTERNASIONAL,LN OUTGOING
PKH (899967),TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (899442),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
PJB (896379),TIDAK DIKETAHUI,POS JUMBO,DALAM NEGERI
PAKET DANGEROUS GOODS,DANGEROUS GOODS,PAKET VG_DG,DALAM NEGERI
PER,TIDAK DIKETAHUI,POS REGULER,DALAM NEGERI
PER2,TIDAK DIKETAHUI,POS REGULER,DALAM NEGERI
INTR,TIDAK DIKETAHUI,POS REGULER,DALAM NEGERI
"312",EMS NON DOKUMEN,EMS INTERNASIONAL,LN OUTGOING
EXPRESS,POS NEXTDAY,TIDAK DIKETAHUI,DALAM NEGERI
PE,POS NEXTDAY,POS NEXTDAY,DALAM NEGERI
PR,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PJM,POS JUMBO MOTOR,POS JUMBO,DALAM NEGERI
LNINCOMING,TIDAK DIKETAHUI,TIDAK DIKETAHUI,LN INCOMING
"331",PAKET CEPAT INTENASIONAL,POS CEPAT LN,LN OUTGOING
PKH_KIS_APBN,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
"868642",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
SKH (899640),TIDAK DIKETAHUI,POS REGULER,DALAM NEGERI
PKH.,TARIF REGULER DENGAN NEGOISASI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (892622),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
POS NEXTDAY,POS NEXTDAY,POS NEXTDAY,DALAM NEGERI
PE.,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
