order_id,customer_id,order_date,product_category,price,quantity,payment_method,region,revenue
1,4174,2024-11-04,Clothing,453.84,2,Bank Transfer,Kalimantan,907.68
2,4507,2024-02-10,Clothing,460.26,3,Bank Transfer,Sulawesi,1380.78
3,1860,2024-05-06,Clothing,34.76,4,Credit Card,Sumatra,139.04
4,2294,2024-10-19,Electronics,317.78,1,Credit Card,Sumatra,317.78
5,2130,2024-09-10,Clothing,399.21,4,Bank Transfer,Bali,1596.84
6,2095,2024-02-15,Clothing,270.54,2,E-Wallet,Kalimantan,541.08
7,4772,2024-03-30,Electronics,52.36,3,Bank Transfer,Sulawesi,157.07999999999998
8,4092,2024-08-09,Electronics,120.2,4,E-Wallet,Java,480.8
9,2638,2024-12-08,Clothing,160.25,2,E-Wallet,Sumatra,320.5
10,3169,2024-10-26,Sports,333.09,3,E-Wallet,Sumatra,999.27
11,1466,2024-12-29,Sports,37.46,2,Bank Transfer,Sulawesi,74.92
12,2238,2024-11-26,Home,277.06,1,Bank Transfer,Sulawesi,277.06
13,1330,2024-07-09,Clothing,58.92,4,Bank Transfer,Java,235.68
14,2482,2024-11-23,Clothing,200.58,2,Bank Transfer,Sulawesi,401.16
15,3135,2024-12-01,Electronics,215.65,3,E-Wallet,Bali,646.95
16,4444,2024-05-25,Electronics,228.66,4,E-Wallet,Java,914.64
17,4171,2024-03-14,Sports,356.88,4,E-Wallet,Sulawesi,1427.52
18,3919,2024-11-30,Clothing,45.19,1,E-Wallet,Kalimantan,45.19
19,4735,2024-02-03,Sports,137.78,4,E-Wallet,Kalimantan,551.12
20,1130,2024-09-08,Sports,322.36,1,Bank Transfer,Java,322.36
21,2685,2024-10-23,Electronics,472.06,4,E-Wallet,Kalimantan,1888.24
22,4380,2024-08-26,Home,312.29,3,Credit Card,Sumatra,936.8700000000001
23,1769,2024-09-08,Clothing,442.27,3,Bank Transfer,Bali,1326.81
24,3391,2024-12-02,Clothing,484.36,3,Credit Card,Sulawesi,1453.08
25,2515,2024-10-15,Home,442.53,4,Credit Card,Sumatra,1770.12
26,4485,2024-03-09,Books,486.24,1,Credit Card,Sumatra,486.24
27,3853,2024-07-21,Sports,389.64,4,Bank Transfer,Bali,1558.56
28,3433,2024-04-16,Books,444.14,3,E-Wallet,Kalimantan,1332.42
29,2215,2024-05-31,Electronics,248.27,2,E-Wallet,Java,496.54
30,1955,2024-12-18,Electronics,175.99,4,E-Wallet,Sulawesi,703.96
31,3324,2024-11-16,Electronics,499.86,3,E-Wallet,Kalimantan,1499.58
32,2184,2024-08-06,Clothing,53.39,3,Credit Card,Bali,160.17000000000002
33,1459,2024-07-23,Clothing,479.31,4,E-Wallet,Kalimantan,1917.24
34,4385,2024-07-06,Home,218.28,4,Credit Card,Sumatra,873.12
35,1021,2024-05-31,Home,16.08,4,E-Wallet,Bali,64.32
36,3300,2024-10-20,Books,402.49,2,Credit Card,Bali,804.98
37,1747,2024-02-29,Books,224.89,3,Bank Transfer,Bali,674.67
38,3904,2024-01-10,Electronics,400.35,3,Bank Transfer,Sumatra,1201.0500000000002
39,4632,2024-01-19,Books,27.18,3,E-Wallet,Java,81.53999999999999
40,1474,2024-09-29,Clothing,487.2,4,Bank Transfer,Sulawesi,1948.8
41,2082,2024-03-14,Clothing,337.16,3,Credit Card,Java,1011.48
42,3558,2024-10-08,Sports,28.76,2,Bank Transfer,Sumatra,57.52
43,4753,2024-09-25,Electronics,7.3,1,E-Wallet,Java,7.3
44,3047,2024-12-15,Books,299.03,4,E-Wallet,Java,1196.12
45,4547,2024-02-12,Home,488.37,1,Credit Card,Bali,488.37
46,3747,2024-02-19,Books,264.38,3,E-Wallet,Bali,793.14
47,1975,2024-12-21,Books,180.18,3,E-Wallet,Kalimantan,540.54
48,2806,2024-09-21,Home,469.77,1,Bank Transfer,Bali,469.77
49,1189,2024-11-23,Electronics,492.06,3,E-Wallet,Bali,1476.18
50,4005,2024-03-08,Electronics,393.32,2,Bank Transfer,Sumatra,786.64
51,3734,2024-05-25,Clothing,360.37,4,Credit Card,Sumatra,1441.48
52,4005,2024-12-17,Electronics,6.02,1,Credit Card,Sulawesi,6.02
53,1562,2024-04-04,Sports,160.27,1,Bank Transfer,Sulawesi,160.27
54,2899,2024-12-25,Clothing,462.96,1,Bank Transfer,Bali,462.96
55,4638,2024-02-12,Books,187.23,3,E-Wallet,Kalimantan,561.6899999999999
56,2267,2024-07-18,Sports,170.62,3,Credit Card,Sumatra,511.86
57,3879,2024-06-04,Electronics,270.9,2,E-Wallet,Kalimantan,541.8
58,2528,2024-07-30,Clothing,226.65,1,Credit Card,Bali,226.65
59,4202,2024-07-15,Clothing,430.1,1,E-Wallet,Kalimantan,430.1
60,4556,2024-04-19,Clothing,45.44,4,Bank Transfer,Java,181.76
61,4890,2024-04-01,Home,331.08,3,Credit Card,Sulawesi,993.24
62,1646,2024-08-29,Electronics,350.11,4,Credit Card,Sumatra,1400.44
63,3068,2024-04-05,Home,440.66,1,E-Wallet,Kalimantan,440.66
64,3888,2024-11-15,Clothing,210.81,4,Credit Card,Sulawesi,843.24
65,3214,2024-10-27,Sports,151.03,3,Bank Transfer,Java,453.09000000000003
66,2297,2024-06-21,Sports,315.15,1,E-Wallet,Sumatra,315.15
67,3435,2024-05-08,Electronics,363.84,3,E-Wallet,Java,1091.52
68,1600,2024-05-21,Electronics,89.63,3,Credit Card,Bali,268.89
69,3363,2024-02-16,Sports,83.29,3,Bank Transfer,Kalimantan,249.87
70,3061,2024-02-22,Books,135.48,2,E-Wallet,Bali,270.96
71,1241,2024-02-13,Clothing,127.72,2,Credit Card,Bali,255.44
72,3041,2024-10-31,Clothing,376.57,2,E-Wallet,Java,753.14
73,3824,2024-04-18,Electronics,267.7,4,Bank Transfer,Kalimantan,1070.8
74,4417,2024-08-15,Clothing,276.16,4,Credit Card,Sulawesi,1104.64
75,3612,2024-07-19,Clothing,12.28,1,Bank Transfer,Java,12.28
76,3945,2024-07-03,Clothing,497.16,4,Credit Card,Sulawesi,1988.64
77,2363,2024-08-17,Home,415.75,4,Credit Card,Sumatra,1663.0
78,3139,2024-11-12,Clothing,224.61,2,Credit Card,Bali,449.22
79,2390,2024-10-12,Electronics,38.11,1,Bank Transfer,Bali,38.11
80,4003,2024-12-10,Clothing,348.67,2,Credit Card,Bali,697.34
81,2478,2024-07-07,Books,269.85,2,Bank Transfer,Sumatra,539.7
82,4499,2024-09-06,Clothing,340.38,3,E-Wallet,Bali,1021.14
83,3556,2024-12-24,Books,340.4,1,Bank Transfer,Java,340.4
84,1775,2024-07-20,Home,81.59,2,Bank Transfer,Kalimantan,163.18
85,1034,2024-03-26,Clothing,167.76,2,Credit Card,Sumatra,335.52
86,3253,2024-07-19,Electronics,13.79,1,E-Wallet,Java,13.79
87,4152,2024-04-15,Home,491.22,2,E-Wallet,Kalimantan,982.44
88,2955,2024-08-09,Home,404.2,2,Credit Card,Java,808.4
89,2585,2024-10-15,Home,464.76,3,E-Wallet,Sulawesi,1394.28
90,4943,2024-09-26,Sports,26.84,2,Credit Card,Sumatra,53.68
91,4459,2024-12-04,Sports,252.67,4,E-Wallet,Kalimantan,1010.68
92,4073,2024-02-01,Electronics,374.98,4,Bank Transfer,Kalimantan,1499.92
93,2021,2024-10-26,Sports,56.33,4,E-Wallet,Bali,225.32
94,4461,2024-02-23,Home,389.66,1,E-Wallet,Sulawesi,389.66
95,3613,2024-03-28,Clothing,325.51,1,E-Wallet,Sulawesi,325.51
96,2129,2024-04-11,Home,492.55,3,Credit Card,Java,1477.65
97,4843,2024-01-18,Home,74.73,2,Credit Card,Kalimantan,149.46
98,4893,2024-12-21,Electronics,316.49,1,E-Wallet,Sulawesi,316.49
99,2500,2024-10-22,Clothing,473.83,4,Bank Transfer,Kalimantan,1895.32
100,1702,2024-03-23,Clothing,373.12,4,E-Wallet,Sulawesi,1492.48
101,3449,2024-08-26,Clothing,171.39,3,Credit Card,Java,514.17
102,3777,2024-12-04,Electronics,64.03,3,E-Wallet,Kalimantan,192.09
103,2579,2024-04-12,Electronics,482.06,1,Credit Card,Kalimantan,482.06
104,1161,2024-07-30,Electronics,40.59,3,E-Wallet,Sulawesi,121.77000000000001
105,1201,2024-04-23,Clothing,487.71,4,E-Wallet,Sumatra,1950.84
106,2981,2024-04-14,Books,155.24,4,E-Wallet,Java,620.96
107,1995,2024-01-14,Electronics,430.85,1,Credit Card,Sumatra,430.85
108,3317,2024-01-07,Clothing,279.38,4,E-Wallet,Sumatra,1117.52
109,4934,2024-11-20,Clothing,456.73,2,Credit Card,Java,913.46
110,1815,2024-10-07,Sports,216.18,1,E-Wallet,Sumatra,216.18
111,4342,2024-07-14,Electronics,425.65,3,Bank Transfer,Java,1276.9499999999998
112,1455,2024-04-05,Electronics,123.0,3,Credit Card,Kalimantan,369.0
113,4533,2024-05-19,Electronics,236.04,1,E-Wallet,Kalimantan,236.04
114,4798,2024-11-27,Books,423.92,1,E-Wallet,Sulawesi,423.92
115,2275,2024-08-20,Home,63.59,2,Credit Card,Bali,127.18
116,2016,2024-01-08,Electronics,365.67,2,E-Wallet,Sumatra,731.34
117,4773,2024-04-26,Clothing,221.25,4,E-Wallet,Sulawesi,885.0
118,3343,2024-06-12,Electronics,259.04,2,E-Wallet,Bali,518.08
119,4796,2024-09-02,Electronics,291.62,3,E-Wallet,Java,874.86
120,3767,2024-06-08,Sports,141.45,2,Bank Transfer,Bali,282.9
121,4820,2024-07-25,Clothing,52.7,1,E-Wallet,Sulawesi,52.7
122,1337,2024-10-31,Home,14.24,2,E-Wallet,Kalimantan,28.48
123,1878,2024-11-21,Clothing,218.31,4,Bank Transfer,Kalimantan,873.24
124,2076,2024-03-03,Home,138.09,3,E-Wallet,Sulawesi,414.27
125,1791,2024-06-12,Clothing,318.3,3,Bank Transfer,Sulawesi,954.9000000000001
126,4993,2024-12-25,Clothing,359.39,3,E-Wallet,Bali,1078.17
127,3264,2024-07-06,Home,254.35,1,Credit Card,Java,254.35
128,1763,2024-06-04,Electronics,311.39,2,E-Wallet,Bali,622.78
129,3235,2024-08-10,Home,282.57,2,Credit Card,Bali,565.14
130,1379,2024-01-12,Books,7.27,1,Credit Card,Sulawesi,7.27
131,1492,2024-10-30,Electronics,421.64,2,Bank Transfer,Sumatra,843.28
132,4112,2024-06-24,Books,34.48,4,E-Wallet,Kalimantan,137.92
133,2180,2024-09-07,Electronics,208.12,2,Credit Card,Sulawesi,416.24
134,3062,2024-09-21,Clothing,59.95,1,Credit Card,Bali,59.95
135,4884,2024-03-14,Home,332.85,3,Bank Transfer,Sumatra,998.5500000000001
136,1064,2024-03-20,Home,166.17,2,Credit Card,Bali,332.34
137,4928,2024-09-28,Electronics,40.22,4,Credit Card,Bali,160.88
138,4910,2024-12-28,Sports,27.45,1,Bank Transfer,Kalimantan,27.45
